publication_id,institute,source,dataset_acc,library_id,author_sample_id,sanger_10x_chemistry,irods_path,HDCA_version
calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968831,aorta-gonad-mesonephros 4.5 week,,/archive/cellgeni/datasets/GSE162950/GSM4968831,v1
calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968832,aorta-gonad-mesonephros 5 week,,/archive/cellgeni/datasets/GSE162950/GSM4968832,v1
calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968833,aorta-gonad-mesonephros 5.5 week,,/archive/cellgeni/datasets/GSE162950/GSM4968833,v1
calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968834,aorta-gonad-mesonephros 6 week,,/archive/cellgeni/datasets/GSE162950/GSM4968834,v1
calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968835,cord 4.5 week,,/archive/cellgeni/datasets/GSE162950/GSM4968835,v2
calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968836,cord blood 40 week,,/archive/cellgeni/datasets/GSE162950/GSM4968836,v2
calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968837,head 4.5 week,,/archive/cellgeni/datasets/GSE162950/GSM4968837,v2
calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968838,heart 4.5 week,,/archive/cellgeni/datasets/GSE162950/GSM4968838,v2
calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968839,liver 11 week,,/archive/cellgeni/datasets/GSE162950/GSM4968839,v2
calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968840,liver 15 week,,/archive/cellgeni/datasets/GSE162950/GSM4968840,v2
calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968841,liver 4.5 week,,/archive/cellgeni/datasets/GSE162950/GSM4968841,v2
calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968842,liver 5.5 week,,/archive/cellgeni/datasets/GSE162950/GSM4968842,v2
calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968843,liver 6 week,,/archive/cellgeni/datasets/GSE162950/GSM4968843,v2
calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968844,liver 8 week,,/archive/cellgeni/datasets/GSE162950/GSM4968844,v2
calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968845,placenta 4.5 week,,/archive/cellgeni/datasets/GSE162950/GSM4968845,v2
calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968846,vitelline artery 4.5 week,,/archive/cellgeni/datasets/GSE162950/GSM4968846,v2
calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968847,yolk sac 4.5 week,,/archive/cellgeni/datasets/GSE162950/GSM4968847,v2
calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE135202,GSM3993420,CS10_body_10x,,/archive/cellgeni/datasets/GSE135202/GSM3993420,v2
calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE135202,GSM3993421,CS11_CH_10x,,/archive/cellgeni/datasets/GSE135202/GSM3993421,v2
calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE135202,GSM3993422,CS13_DA_10x,,/archive/cellgeni/datasets/GSE135202/GSM3993422,v2
dong_2020_adrenal,Children's Hospital of Fudan University,external,GSE137804,GSM4088774,T10,,/archive/cellgeni/datasets/GSE137804/GSM4088774,v2
dong_2020_adrenal,Children's Hospital of Fudan University,external,GSE137804,GSM4088775,T19,,/archive/cellgeni/datasets/GSE137804/GSM4088775,v2
dong_2020_adrenal,Children's Hospital of Fudan University,external,GSE137804,GSM4088776,T27,,/archive/cellgeni/datasets/GSE137804/GSM4088776,v2
dong_2020_adrenal,Children's Hospital of Fudan University,external,GSE137804,GSM4088777,T34,,/archive/cellgeni/datasets/GSE137804/GSM4088777,v2
dong_2020_adrenal,Children's Hospital of Fudan University,external,GSE137804,GSM4088778,T40,,/archive/cellgeni/datasets/GSE137804/GSM4088778,v2
dong_2020_adrenal,Children's Hospital of Fudan University,external,GSE137804,GSM4088779,T44,,/archive/cellgeni/datasets/GSE137804/GSM4088779,v2
dong_2020_adrenal,Children's Hospital of Fudan University,external,GSE137804,GSM4088780,T69,,/archive/cellgeni/datasets/GSE137804/GSM4088780,v2
dong_2020_adrenal,Children's Hospital of Fudan University,external,GSE137804,GSM4088781,T71,,/archive/cellgeni/datasets/GSE137804/GSM4088781,v2
dong_2020_adrenal,Children's Hospital of Fudan University,external,GSE137804,GSM4088782,T75,,/archive/cellgeni/datasets/GSE137804/GSM4088782,v2
dong_2020_adrenal,Children's Hospital of Fudan University,external,GSE137804,GSM4088783,T92,,/archive/cellgeni/datasets/GSE137804/GSM4088783,v2
dong_2020_adrenal,Children's Hospital of Fudan University,external,GSE137804,GSM4088785,F2,,/archive/cellgeni/datasets/GSE137804/GSM4088785,v1
dong_2020_adrenal,Children's Hospital of Fudan University,external,GSE137804,GSM4088786,F7,,/archive/cellgeni/datasets/GSE137804/GSM4088786,v1
dong_2020_adrenal,Children's Hospital of Fudan University,external,GSE137804,GSM4088787,F106,,/archive/cellgeni/datasets/GSE137804/GSM4088787,v1
dong_2020_adrenal,Children's Hospital of Fudan University,external,GSE137804,GSM4088788,F107,,/archive/cellgeni/datasets/GSE137804/GSM4088788,v1
dong_2020_adrenal,Children's Hospital of Fudan University,external,GSE137804,GSM4654667,F366,,/archive/cellgeni/datasets/GSE137804/GSM4654667,v2
dong_2020_adrenal,Children's Hospital of Fudan University,external,GSE137804,GSM4654668,F379,,/archive/cellgeni/datasets/GSE137804/GSM4654668,v2
dong_2020_adrenal,Children's Hospital of Fudan University,external,GSE137804,GSM4654669,T162,,/archive/cellgeni/datasets/GSE137804/GSM4654669,v2
dong_2020_adrenal,Children's Hospital of Fudan University,external,GSE137804,GSM4654670,T175,,/archive/cellgeni/datasets/GSE137804/GSM4654670,v2
dong_2020_adrenal,Children's Hospital of Fudan University,external,GSE137804,GSM4654671,T188,,/archive/cellgeni/datasets/GSE137804/GSM4654671,v2
dong_2020_adrenal,Children's Hospital of Fudan University,external,GSE137804,GSM4654672,T200,,/archive/cellgeni/datasets/GSE137804/GSM4654672,v2
dong_2020_adrenal,Children's Hospital of Fudan University,external,GSE137804,GSM4654673,T214,,/archive/cellgeni/datasets/GSE137804/GSM4654673,v2
dong_2020_adrenal,Children's Hospital of Fudan University,external,GSE137804,GSM4654674,T230,,/archive/cellgeni/datasets/GSE137804/GSM4654674,v2
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223075,10X147_1,,/archive/cellgeni/datasets/EGAD50000001295/10X147_1_ABC_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223066,10X186_1,,/archive/cellgeni/datasets/EGAD50000001295/10X186_1_ABC_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223076,10X186_4,,/archive/cellgeni/datasets/EGAD50000001295/10X186_4_ABC_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223131,10X187_1,,/archive/cellgeni/datasets/EGAD50000001295/10X187_1_ABC_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223072,10X187_2,,/archive/cellgeni/datasets/EGAD50000001295/10X187_2_ABC_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223092,10X187_3,,/archive/cellgeni/datasets/EGAD50000001295/10X187_3_ABC_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223104,10X187_4,,/archive/cellgeni/datasets/EGAD50000001295/10X187_4_ABC_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223083,10X187_6,,/archive/cellgeni/datasets/EGAD50000001295/10X187_6_ABC_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223118,10X187_8,,/archive/cellgeni/datasets/EGAD50000001295/10X187_8_ABC_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223069,10X188_1,,/archive/cellgeni/datasets/EGAD50000001295/10X188_1_ABC_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223097,10X188_2,,/archive/cellgeni/datasets/EGAD50000001295/10X188_2_ABC_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223102,10X188_3,,/archive/cellgeni/datasets/EGAD50000001295/10X188_3_ABC_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223063,10X188_4,,/archive/cellgeni/datasets/EGAD50000001295/10X188_4_ABC_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223085,10X251_7,,/archive/cellgeni/datasets/EGAD50000001295/10X251_7_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223125,10X251_8,,/archive/cellgeni/datasets/EGAD50000001295/10X251_8_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223070,10X252_1,,/archive/cellgeni/datasets/EGAD50000001295/10X252_1_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223084,10X252_2,,/archive/cellgeni/datasets/EGAD50000001295/10X252_2_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223090,10X252_3,,/archive/cellgeni/datasets/EGAD50000001295/10X252_3_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223065,10X252_4,,/archive/cellgeni/datasets/EGAD50000001295/10X252_4_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223096,10X252_5,,/archive/cellgeni/datasets/EGAD50000001295/10X252_5_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223103,10X252_6,,/archive/cellgeni/datasets/EGAD50000001295/10X252_6_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223117,10X252_7,,/archive/cellgeni/datasets/EGAD50000001295/10X252_7_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223082,10X254_2,,/archive/cellgeni/datasets/EGAD50000001295/10X254_2_AB_1,v1
braun_2023_brain,Karolinska Institutet,external,EGAD50000001295,EGAN50000223101,10X254_3,,/archive/cellgeni/datasets/EGAD50000001295/10X254_3_AB_1,v1
